alkusanojen kirjoittaja;wam
animaattori;anm
arkkitehti;arc
art director;bkd
asiantuntija;csl
asiantuntija;csp
asiantuntija;sad
designer;dsr
DJ;prf
dubbausohjaaja;drt
ekspression tekijä;ctb
elokuvan jakelija;dst
elokuvantekijä;flm
elokuvaohjaaja;drt
elokuvatuottaja;pro
erikoistehosteiden tekijä;std
esipuheen kirjoittaja;wam
esittelijä;cmm
esittäjä;prf
etsaaja;etr
graafinen suunnittelija;bkd
haastateltava;ive
haastattelija;ivr
huomautusten kirjoittaja;ann
illuminoinnin tekijä;ilu
jakaja;dst
johdannon kirjoittaja;wam
johtaja;cnd
julkaisija;pbl
juontaja;spk
jälkipuheen kirjoittaja;aft
kaivertaja;egr
kapellimestari;cnd
kartantekijä;ctg
keksijä;org
kertoja;nrt
kirjanpainaja;pbl
kirjataitelija;art
kirjoittaja;aut
kokoaja;com
kokousten raportoija;aut
komentaattori;cmm
kommentaarin kirjoittaja;cwt
konsultoija;csl
koreografi;chr
kuoronjohtaja;cnd
kustantaja;pbl
kuvaaja;cng
kuvaaja;vdg
kuvanveistäjä;scl
kuvittaja;ill
käsikirjoittaja;aus
kääntäjä;trl
laulaja;sng
leikkaaja;flm
libretisti;lbt
lisätyn tekstin kirjoittaja;wam
litografi;ltg
loppusanojen kirjoittaja;aft
luoja;cre
teoksen tekijä;cre
lyhentäjä;adp
maanmittari;srv
maisema-arkkitehti;lsa
meikkitaiteilija;art
miksaaja;rce
musiikin sovittaja;arr
musiikkijohtaja;cnd
musiikkiohjelmoija;prg
nukettaja;ppt
näyttelijä;act
näyttämöohjaaja;drt
oheistekstin kirjoittaja;wam
ohjaaja;drt
ohjelmoija;prg
omistuskirjoituksen kirjoittaja;ins
osallistuja;prf
painolaatan valmistaja;plt
piirtäjä;drm
puhuja;spk
puvustaja;cst
radio-ohjelman ohjaaja;drt
radiotuottaja;pro
roolittaja;drt
sanoittaja;lyr
sarjakuvantekijä;aut
sensori;cns
sitoja;bnd
soittaja;prf
sovittaja;arr
sponsori;spn
säveltäjä;cmp
taiteilija;art
tanssija;dnc
tarinankertoja;stl
tekstaaja;cll
toimeksiantaja;org
toimittaja;edt
toimituspäällikkö;edt
transkriboija;scr
tuottaja;pro
tutkija;res
uudelleen miksaaja;art
valokuvaaja;pht
valosuunnittelija;lgd
vastaanottaja;crp
visuaalisten tehosteiden tekijä;std
värittäjä;art
ääni- tai videoteknikko;rce
ääninäyttelijä;act
äänisuunnittelija;arr
ääniteknikko;rce
äänittäjä tai kameraoperaattori;rce
äänituottaja;pro
